fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type_red,type_white,PCA1,PCA2,LDA1,LDA2
7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6,0,1,56.38514004510623,2.4327950129611176,0.8148238816737858,-1.268383525535736
6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6,0,1,11.642541115630001,-19.76522824627164,1.5527367036738924,0.7087761768037297
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,0,1,-18.641635277610618,3.8579464870512883,-0.0877999893477755,0.8760100970167541
7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6,0,1,71.89259761352527,0.3997549501350374,0.29712632292571434,-0.8710435524641356
7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6,0,1,71.89259761352527,0.3997549501350374,0.29712632292571434,-0.8710435524641356
8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,0,1,-18.641635277610618,3.8579464870512883,-0.0877999893477755,0.8760100970167541
6.2,0.32,0.16,7.0,0.045,30.0,136.0,0.9949,3.18,0.47,9.6,6,0,1,19.34868186444131,-4.920597949917874,0.9152879752108841,0.05078914417989724
7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6,0,1,56.385140045106475,2.43279501296078,0.8148238816737858,-1.268383525535736
6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6,0,1,11.642541115630001,-19.765228246271683,1.5527367036738924,0.7087761768037297
8.1,0.22,0.43,1.5,0.044,28.0,129.0,0.9938,3.22,0.45,11.0,6,0,1,11.834180207628126,-5.467835980545654,-0.10233720812067731,0.6464930033336383
8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.9908,2.99,0.56,12.0,5,0,1,-56.24074995658305,-7.139592407700907,-1.284399106637917,1.4243463394442188
8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,3.14,0.53,9.7,5,0,1,-9.985940193487375,-11.593537284140726,0.31818354476518906,0.7804288550377911
7.9,0.18,0.37,1.2,0.04,16.0,75.0,0.992,3.18,0.63,10.8,5,0,1,-43.43933908461335,-4.985828683715467,-0.9503362793798953,0.7586892284068821
6.6,0.16,0.4,1.5,0.044,48.0,143.0,0.9912,3.54,0.52,12.4,7,0,1,29.948794214534832,10.864469402545492,-2.271944777907153,-0.005407079521325665
8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,2.98,0.67,9.7,5,0,1,57.360871326042606,-1.9641180818951458,0.1817179882356862,0.3013655340834814
6.6,0.17,0.38,1.5,0.032,28.0,112.0,0.9914,3.25,0.55,11.4,7,0,1,-4.708886893131591,-1.6235905022221324,-1.139970920649361,0.06028017815484179
6.3,0.48,0.04,1.1,0.046,30.0,99.0,0.9928,3.24,0.36,9.6,6,0,1,-16.92214238895751,3.2395378019378054,1.73053482332741,1.5400693354694786
7.2165793124710955,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8,0,1,-40.5331650541028,7.682203817281994,-0.8834515684441238,3.7869440110563453
7.4,0.34,0.42,1.1,0.033,17.0,171.0,0.9917,3.12,0.53,11.3,6,0,1,50.24627453928918,-25.6552862815104,0.09593498102613361,0.9589050423640856
6.5,0.31,0.14,7.5,0.044,34.0,133.0,0.9955,3.22,0.5,9.5,5,0,1,17.34369271098715,-0.3361708812734049,0.7362265545223978,0.06664812061102512
6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8,0,1,-40.526113168798844,7.689094547245476,-0.5927658710052066,3.5010172402856923
